Meter Serial number,New name
18-262-2469-i-45-2-Meter-01,NewWallStreet-Unit 213
18-262-2469-i-45-2-Meter-02,NewWallStreet-Unit 214
18-262-2469-i-45-2-Meter-03,NewWallStreet-Unit 215
18-262-2469-i-45-2-Meter-04,NewWallStreet-Unit 201
18-262-2469-i-45-2-Meter-09,NewWallStreet-Unit 202
18-262-2469-i-45-2-Meter-10,NewWallStreet-Unit 203
18-262-2469-i-45-2-Meter-11,NewWallStreet-Unit 204
18-262-2469-i-45-2-Meter-14,NewWallStreet-Unit 205
18-262-2469-i-45-2-Meter-15,NewWallStreet-Unit 206
18-262-2469-i-45-2-Meter-16,NewWallStreet-Unit 207
18-262-2469-i-45-2-Meter-17,NewWallStreet-Unit 208
18-262-2469-i-45-2-Meter-18,NewWallStreet-Unit 209
18-262-2469-i-45-2-Meter-19,NewWallStreet-Unit 210
18-262-2469-i-45-2-Meter-23,NewWallStreet-Unit 211
18-262-2469-i-45-2-Meter-24,NewWallStreet-Unit 212
18-262-2469-i-45-3-Meter-01,NewWallStreet-Unit 313
18-262-2469-i-45-3-Meter-02,NewWallStreet-Unit 314
18-262-2469-i-45-3-Meter-03,NewWallStreet-Unit 315
18-262-2469-i-45-3-Meter-04,NewWallStreet-Unit 301
18-262-2469-i-45-3-Meter-09,NewWallStreet-Unit 302
18-262-2469-i-45-3-Meter-10,NewWallStreet-Unit 303
18-262-2469-i-45-3-Meter-11,NewWallStreet-Unit 304
18-262-2469-i-45-3-Meter-14,NewWallStreet-Unit 305
18-262-2469-i-45-3-Meter-15,NewWallStreet-Unit 306
18-262-2469-i-45-3-Meter-16,NewWallStreet-Unit 307
18-262-2469-i-45-3-Meter-17,NewWallStreet-Unit 308
18-262-2469-i-45-3-Meter-18,NewWallStreet-Unit 309
18-262-2469-i-45-3-Meter-19,NewWallStreet-Unit 310
18-262-2469-i-45-3-Meter-23,NewWallStreet-Unit 311
18-262-2469-i-45-3-Meter-24,NewWallStreet-Unit 312
