SN,Date and time,CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8
11-11-01-0105-i-636-2-Meter,2020-10-01 00:00:00,41175157,15703904,3174356,33038595,0,5041,0,0
11-11-01-0105-i-636-1-Meter,2020-10-01 00:00:00,54823195,3415967,119177960,0,0,19,0,0
11-11-01-0105-i-636-5-Meter,2020-10-01 00:00:00,39398672,31959413,42076445,44241309,3265184,8857,0,0
11-11-01-0105-i-636-6-Meter,2020-10-01 00:00:00,46514019,41281550,48528008,43803044,0,13637,0,0
11-11-01-0105-i-636-4-Meter,2020-10-01 00:00:00,56517101,27955141,26405354,21010109,0,13093,0,0
11-11-01-0105-i-636-3-Meter,2020-10-01 00:00:00,27835268,30461408,26744143,27177597,0,2815,0,0
11-11-01-0105-i-636-7-Meter,2020-10-01 00:00:00,46256543,104735338,0,0,0,12149,0,0
11-11-01-0105-i-636-10-Meter,2020-10-01 00:00:00,367875,416141,245956,101,75,419447,370919,74710
11-11-01-0105-i-636-8-Meter,2020-10-01 00:00:00,3618343,0,3114708,3072012,1440926,0,0,0
11-11-01-0105-i-636-9-Meter,2020-10-01 00:00:00,2661249,3870908,4272117,4452592,3676402,0,0,11
11-11-01-0105-i-636-11-Meter,2020-10-01 00:00:00,53846,46704,82970,34505,0,0,0,0
14125,2020-10-01 00:00:00,164881642,132831506,0,0,0,0,0,0
14131,2020-10-01 00:00:00,6889340,24194,46099,43582,50334983,0,0,0
14152,2020-10-01 00:00:00,0,2804895,2151828,0,0,0,0,0
14639,2020-10-01 00:00:00,137968730,170796,0,0,0,0,0,0
15980,2020-10-01 00:00:00,5366,3837,10247492,5405171,0,5734,4766249,31
16251,2020-10-01 00:00:00,6438067,6110770,5546213,478,479,0,0,0
11-11-01-0105-i-636-2-Meter,2020-10-31 23:45:00,41603519,15764805,3186218,33339525,0,5064,0,0
11-11-01-0105-i-636-1-Meter,2020-10-31 23:45:00,55328281,3457938,120563625,0,0,19,0,0
11-11-01-0105-i-636-5-Meter,2020-10-31 23:45:00,39939203,32291838,42377595,44709379,3265184,8927,0,0
11-11-01-0105-i-636-6-Meter,2020-10-31 23:45:00,46877998,41700462,48921019,44301850,0,13687,0,0
11-11-01-0105-i-636-4-Meter,2020-10-31 23:45:00,56947574,28141867,26638834,21113688,0,13132,0,0
11-11-01-0105-i-636-3-Meter,2020-10-31 23:45:00,28022379,30750716,26900031,27373472,0,2819,0,0
11-11-01-0105-i-636-7-Meter,2020-10-31 23:45:00,46753825,105737140,0,0,0,12255,0,0
11-11-01-0105-i-636-10-Meter,2020-10-31 23:45:00,372272,418499,246454,101,75,424817,374422,75430
11-11-01-0105-i-636-8-Meter,2020-10-31 23:45:00,3642393,0,3140062,3093688,1452426,0,0,0
11-11-01-0105-i-636-9-Meter,2020-10-31 23:45:00,2683196,3928478,4305299,4500121,3697552,0,0,11
11-11-01-0105-i-636-11-Meter,2020-10-31 23:45:00,54014,47074,83866,34505,0,0,0,0
14125,2020-10-31 23:45:00,166681904,133929918,0,0,0,0,0,0
14131,2020-10-31 23:45:00,6940534,24200,46121,43619,51099670,0,0,0
14152,2020-10-31 23:45:00,0,2839849,2190683,0,0,0,0,0
14639,2020-10-31 23:45:00,138385745,170818,0,0,0,0,0,0
15980,2020-10-31 23:00:00,5390,3860,10390738,5618512,0,5752,4922889,31
16251,2020-10-31 23:45:00,6532078,6201740,5630472,478,479,0,0,0
